########################################################################################################################################################################################################
Check MTCNN_ROOT_DIR, current MTCNN_ROOT_DIR is - /
########################################################################################################################################################################################################
########################################################################################################################################################################################################
########################################################################################################################################################################################################
Prepare CelebA dataset for input.
Prepared CelebA dataset for input.
########################################################################################################################################################################################################
Generate a basic dataset i.e. PNet dataset.
Generated a basic dataset i.e. PNet dataset.
########################################################################################################################################################################################################
Train PNet.
2018-09-10 22:11:05.788329 - step - 3840 accuracy - 0.946188, class loss - 0.196523, bbox loss - 0.073931, landmark loss - 0.030195, L2 loss - 0.017259, lr - 0.010000 
2018-09-10 23:45:23.469792 - step - 69120 accuracy - 0.958159, class loss - 0.171007, bbox loss - 0.063790, landmark loss - 0.020175, L2 loss - 0.021877, lr - 0.010000 
2018-09-10 23:50:55.653101 - step - 72960 accuracy - 0.941176, class loss - 0.203092, bbox loss - 0.061627, landmark loss - 0.024382, L2 loss - 0.021950, lr - 0.010000 
2018-09-10 23:56:28.540951 - step - 76800 accuracy - 0.946667, class loss - 0.169908, bbox loss - 0.056723, landmark loss - 0.021638, L2 loss - 0.021933, lr - 0.010000 
2018-09-11 00:02:01.278841 - step - 80640 accuracy - 0.935780, class loss - 0.222465, bbox loss - 0.076919, landmark loss - 0.022906, L2 loss - 0.022012, lr - 0.010000 
2018-09-11 00:07:33.433684 - step - 84480 accuracy - 0.927602, class loss - 0.188428, bbox loss - 0.074057, landmark loss - 0.018719, L2 loss - 0.021952, lr - 0.010000 
2018-09-11 00:13:05.917688 - step - 88320 accuracy - 0.954955, class loss - 0.156729, bbox loss - 0.055440, landmark loss - 0.025962, L2 loss - 0.021949, lr - 0.010000 
2018-09-11 00:18:38.182624 - step - 92160 accuracy - 0.951754, class loss - 0.200349, bbox loss - 0.054858, landmark loss - 0.027177, L2 loss - 0.022023, lr - 0.010000 
2018-09-11 00:24:10.604275 - step - 96000 accuracy - 0.946429, class loss - 0.187949, bbox loss - 0.065851, landmark loss - 0.024238, L2 loss - 0.022108, lr - 0.010000 
2018-09-11 00:29:43.228450 - step - 99840 accuracy - 0.930693, class loss - 0.207797, bbox loss - 0.071148, landmark loss - 0.026502, L2 loss - 0.022162, lr - 0.010000 
2018-09-11 00:35:15.409668 - step - 103680 accuracy - 0.948598, class loss - 0.203997, bbox loss - 0.063936, landmark loss - 0.016745, L2 loss - 0.022174, lr - 0.010000 
2018-09-11 00:40:47.402584 - step - 107520 accuracy - 0.957265, class loss - 0.179677, bbox loss - 0.075484, landmark loss - 0.023649, L2 loss - 0.022306, lr - 0.010000 
2018-09-11 00:46:19.478392 - step - 111360 accuracy - 0.944444, class loss - 0.239177, bbox loss - 0.056302, landmark loss - 0.029456, L2 loss - 0.022232, lr - 0.010000 
2018-09-11 00:51:51.852235 - step - 115200 accuracy - 0.947598, class loss - 0.143630, bbox loss - 0.057106, landmark loss - 0.025611, L2 loss - 0.022322, lr - 0.010000 
2018-09-11 00:57:23.828804 - step - 119040 accuracy - 0.925110, class loss - 0.297091, bbox loss - 0.053731, landmark loss - 0.022918, L2 loss - 0.022373, lr - 0.010000 
2018-09-11 01:02:56.651559 - step - 122880 accuracy - 0.956140, class loss - 0.221548, bbox loss - 0.086090, landmark loss - 0.031492, L2 loss - 0.022261, lr - 0.010000 
2018-09-11 01:08:28.582602 - step - 126720 accuracy - 0.933014, class loss - 0.202080, bbox loss - 0.059016, landmark loss - 0.020360, L2 loss - 0.022287, lr - 0.010000 
2018-09-11 01:14:00.749200 - step - 130560 accuracy - 0.922374, class loss - 0.273225, bbox loss - 0.077328, landmark loss - 0.016789, L2 loss - 0.022505, lr - 0.010000 
2018-09-11 01:19:32.493791 - step - 134400 accuracy - 0.945946, class loss - 0.199823, bbox loss - 0.071814, landmark loss - 0.025905, L2 loss - 0.022496, lr - 0.010000 
2018-09-11 01:25:04.412813 - step - 138240 accuracy - 0.948837, class loss - 0.214303, bbox loss - 0.065288, landmark loss - 0.022442, L2 loss - 0.022576, lr - 0.010000 
2018-09-11 01:30:36.677058 - step - 142080 accuracy - 0.933036, class loss - 0.227291, bbox loss - 0.063874, landmark loss - 0.019301, L2 loss - 0.022651, lr - 0.010000 
2018-09-11 01:36:08.729240 - step - 145920 accuracy - 0.962500, class loss - 0.180906, bbox loss - 0.057911, landmark loss - 0.015950, L2 loss - 0.022592, lr - 0.010000 
2018-09-11 01:41:41.154608 - step - 149760 accuracy - 0.954955, class loss - 0.167465, bbox loss - 0.055312, landmark loss - 0.024154, L2 loss - 0.022579, lr - 0.010000 
2018-09-11 01:47:12.937867 - step - 153600 accuracy - 0.954167, class loss - 0.166260, bbox loss - 0.060312, landmark loss - 0.020686, L2 loss - 0.022454, lr - 0.010000 
2018-09-11 01:52:44.901217 - step - 157440 accuracy - 0.937778, class loss - 0.215098, bbox loss - 0.051825, landmark loss - 0.020801, L2 loss - 0.022558, lr - 0.010000 
2018-09-11 01:58:17.220196 - step - 161280 accuracy - 0.962025, class loss - 0.154975, bbox loss - 0.063774, landmark loss - 0.019654, L2 loss - 0.022642, lr - 0.010000 
2018-09-11 02:03:49.809849 - step - 165120 accuracy - 0.932692, class loss - 0.249241, bbox loss - 0.076018, landmark loss - 0.018562, L2 loss - 0.022628, lr - 0.010000 
2018-09-11 02:09:21.782739 - step - 168960 accuracy - 0.940092, class loss - 0.167767, bbox loss - 0.070809, landmark loss - 0.020613, L2 loss - 0.022607, lr - 0.010000 
2018-09-11 02:14:53.970827 - step - 172800 accuracy - 0.941964, class loss - 0.262935, bbox loss - 0.071005, landmark loss - 0.020047, L2 loss - 0.022612, lr - 0.010000 
2018-09-11 02:20:25.712692 - step - 176640 accuracy - 0.960177, class loss - 0.185709, bbox loss - 0.065911, landmark loss - 0.021784, L2 loss - 0.022532, lr - 0.010000 
2018-09-11 02:25:57.645422 - step - 180480 accuracy - 0.952790, class loss - 0.194931, bbox loss - 0.052336, landmark loss - 0.026765, L2 loss - 0.022605, lr - 0.010000 
2018-09-11 02:31:29.934157 - step - 184320 accuracy - 0.963964, class loss - 0.172312, bbox loss - 0.053382, landmark loss - 0.019586, L2 loss - 0.022549, lr - 0.001000 
2018-09-11 02:37:01.696676 - step - 188160 accuracy - 0.942982, class loss - 0.182919, bbox loss - 0.059744, landmark loss - 0.019381, L2 loss - 0.022351, lr - 0.001000 
2018-09-11 02:42:33.864560 - step - 192000 accuracy - 0.942982, class loss - 0.172196, bbox loss - 0.056918, landmark loss - 0.028400, L2 loss - 0.022188, lr - 0.001000 
2018-09-11 02:48:06.034339 - step - 195840 accuracy - 0.932735, class loss - 0.263972, bbox loss - 0.067903, landmark loss - 0.018973, L2 loss - 0.022032, lr - 0.001000 
2018-09-11 02:53:38.050921 - step - 199680 accuracy - 0.942857, class loss - 0.223041, bbox loss - 0.056211, landmark loss - 0.035928, L2 loss - 0.021844, lr - 0.001000 
2018-09-11 02:59:10.265215 - step - 203520 accuracy - 0.978355, class loss - 0.129323, bbox loss - 0.056735, landmark loss - 0.020373, L2 loss - 0.021697, lr - 0.001000 
2018-09-11 03:04:42.511318 - step - 207360 accuracy - 0.963415, class loss - 0.145457, bbox loss - 0.066507, landmark loss - 0.018090, L2 loss - 0.021567, lr - 0.001000 
2018-09-11 03:10:14.447453 - step - 211200 accuracy - 0.959459, class loss - 0.189825, bbox loss - 0.067512, landmark loss - 0.019927, L2 loss - 0.021412, lr - 0.001000 
2018-09-11 03:15:46.352994 - step - 215040 accuracy - 0.964286, class loss - 0.190010, bbox loss - 0.059998, landmark loss - 0.032086, L2 loss - 0.021272, lr - 0.001000 
2018-09-11 03:21:19.555389 - step - 218880 accuracy - 0.968182, class loss - 0.126180, bbox loss - 0.053894, landmark loss - 0.021792, L2 loss - 0.021155, lr - 0.001000 
2018-09-11 03:26:51.693254 - step - 222720 accuracy - 0.981735, class loss - 0.118492, bbox loss - 0.056795, landmark loss - 0.019719, L2 loss - 0.021025, lr - 0.001000 
2018-09-11 03:32:24.041006 - step - 226560 accuracy - 0.956332, class loss - 0.197392, bbox loss - 0.047517, landmark loss - 0.018318, L2 loss - 0.020897, lr - 0.001000 
2018-09-11 03:37:55.834194 - step - 230400 accuracy - 0.935345, class loss - 0.229059, bbox loss - 0.058019, landmark loss - 0.018572, L2 loss - 0.020813, lr - 0.001000 
2018-09-11 03:43:27.633165 - step - 234240 accuracy - 0.967213, class loss - 0.154286, bbox loss - 0.052707, landmark loss - 0.017382, L2 loss - 0.020710, lr - 0.001000 
2018-09-11 03:48:59.299986 - step - 238080 accuracy - 0.957346, class loss - 0.145715, bbox loss - 0.059579, landmark loss - 0.016529, L2 loss - 0.020602, lr - 0.001000 
2018-09-11 03:54:31.274723 - step - 241920 accuracy - 0.930435, class loss - 0.306533, bbox loss - 0.059154, landmark loss - 0.028444, L2 loss - 0.020523, lr - 0.001000 
2018-09-11 04:00:04.118707 - step - 245760 accuracy - 0.947826, class loss - 0.212860, bbox loss - 0.052204, landmark loss - 0.023541, L2 loss - 0.020447, lr - 0.001000 
2018-09-11 04:05:36.330035 - step - 249600 accuracy - 0.929461, class loss - 0.259775, bbox loss - 0.049641, landmark loss - 0.018901, L2 loss - 0.020343, lr - 0.001000 
2018-09-11 04:11:08.366108 - step - 253440 accuracy - 0.940426, class loss - 0.175328, bbox loss - 0.062280, landmark loss - 0.019503, L2 loss - 0.020288, lr - 0.001000 
2018-09-11 04:16:40.175627 - step - 257280 accuracy - 0.946429, class loss - 0.203467, bbox loss - 0.068084, landmark loss - 0.023605, L2 loss - 0.020216, lr - 0.001000 
2018-09-11 04:22:12.343184 - step - 261120 accuracy - 0.941704, class loss - 0.145248, bbox loss - 0.072088, landmark loss - 0.024116, L2 loss - 0.020125, lr - 0.001000 
2018-09-11 04:27:44.146224 - step - 264960 accuracy - 0.945000, class loss - 0.222487, bbox loss - 0.062753, landmark loss - 0.022198, L2 loss - 0.020073, lr - 0.001000 
2018-09-11 04:33:16.668831 - step - 268800 accuracy - 0.942387, class loss - 0.240401, bbox loss - 0.061793, landmark loss - 0.021780, L2 loss - 0.020035, lr - 0.001000 
2018-09-11 04:38:48.613978 - step - 272640 accuracy - 0.937799, class loss - 0.214771, bbox loss - 0.065552, landmark loss - 0.018563, L2 loss - 0.019954, lr - 0.001000 
2018-09-11 04:44:20.607175 - step - 276480 accuracy - 0.950673, class loss - 0.209238, bbox loss - 0.055018, landmark loss - 0.027355, L2 loss - 0.019899, lr - 0.001000 
2018-09-11 04:49:52.174362 - step - 280320 accuracy - 0.954751, class loss - 0.214435, bbox loss - 0.062141, landmark loss - 0.016524, L2 loss - 0.019862, lr - 0.001000 
2018-09-11 04:55:24.308110 - step - 284160 accuracy - 0.952153, class loss - 0.209240, bbox loss - 0.074491, landmark loss - 0.024938, L2 loss - 0.019799, lr - 0.001000 
2018-09-11 05:00:56.665287 - step - 288000 accuracy - 0.950226, class loss - 0.193782, bbox loss - 0.059024, landmark loss - 0.027662, L2 loss - 0.019760, lr - 0.001000 
2018-09-11 05:06:28.582197 - step - 291840 accuracy - 0.925764, class loss - 0.236464, bbox loss - 0.056470, landmark loss - 0.031702, L2 loss - 0.019729, lr - 0.001000 
2018-09-11 05:12:00.757652 - step - 295680 accuracy - 0.947598, class loss - 0.207237, bbox loss - 0.069248, landmark loss - 0.017766, L2 loss - 0.019673, lr - 0.001000 
2018-09-11 05:17:33.264191 - step - 299520 accuracy - 0.953052, class loss - 0.151466, bbox loss - 0.063094, landmark loss - 0.020625, L2 loss - 0.019628, lr - 0.001000 
2018-09-11 05:23:05.413260 - step - 303360 accuracy - 0.950450, class loss - 0.196657, bbox loss - 0.070862, landmark loss - 0.021959, L2 loss - 0.019584, lr - 0.001000 
2018-09-11 05:28:37.426085 - step - 307200 accuracy - 0.940092, class loss - 0.234785, bbox loss - 0.064219, landmark loss - 0.018813, L2 loss - 0.019550, lr - 0.001000 
2018-09-11 05:34:09.527521 - step - 311040 accuracy - 0.952607, class loss - 0.180259, bbox loss - 0.054205, landmark loss - 0.035470, L2 loss - 0.019512, lr - 0.001000 
2018-09-11 05:39:41.120023 - step - 314880 accuracy - 0.967742, class loss - 0.159636, bbox loss - 0.058570, landmark loss - 0.020774, L2 loss - 0.019479, lr - 0.001000 
2018-09-11 05:45:13.295735 - step - 318720 accuracy - 0.962264, class loss - 0.130550, bbox loss - 0.058142, landmark loss - 0.017449, L2 loss - 0.019442, lr - 0.001000 
2018-09-11 05:50:45.205459 - step - 322560 accuracy - 0.957447, class loss - 0.203810, bbox loss - 0.064370, landmark loss - 0.022850, L2 loss - 0.019410, lr - 0.001000 
2018-09-11 05:56:16.964486 - step - 326400 accuracy - 0.968610, class loss - 0.174473, bbox loss - 0.056226, landmark loss - 0.023051, L2 loss - 0.019384, lr - 0.001000 
2018-09-11 06:01:49.222775 - step - 330240 accuracy - 0.949367, class loss - 0.237811, bbox loss - 0.065257, landmark loss - 0.020290, L2 loss - 0.019359, lr - 0.001000 
2018-09-11 06:07:21.394634 - step - 334080 accuracy - 0.964758, class loss - 0.127943, bbox loss - 0.064177, landmark loss - 0.015725, L2 loss - 0.019323, lr - 0.001000 
2018-09-11 06:12:53.455586 - step - 337920 accuracy - 0.951542, class loss - 0.202794, bbox loss - 0.068772, landmark loss - 0.014462, L2 loss - 0.019281, lr - 0.001000 
2018-09-11 06:18:25.432403 - step - 341760 accuracy - 0.970085, class loss - 0.126816, bbox loss - 0.054905, landmark loss - 0.014342, L2 loss - 0.019275, lr - 0.001000 
2018-09-11 06:23:57.484521 - step - 345600 accuracy - 0.928889, class loss - 0.267813, bbox loss - 0.065811, landmark loss - 0.021315, L2 loss - 0.019239, lr - 0.001000 
2018-09-11 06:29:29.431032 - step - 349440 accuracy - 0.952174, class loss - 0.229988, bbox loss - 0.050856, landmark loss - 0.023540, L2 loss - 0.019229, lr - 0.001000 
2018-09-11 06:35:01.670716 - step - 353280 accuracy - 0.979079, class loss - 0.124596, bbox loss - 0.048320, landmark loss - 0.016385, L2 loss - 0.019192, lr - 0.001000 
2018-09-11 06:40:33.524370 - step - 357120 accuracy - 0.966942, class loss - 0.138589, bbox loss - 0.066170, landmark loss - 0.023530, L2 loss - 0.019173, lr - 0.001000 
2018-09-11 06:46:05.334452 - step - 360960 accuracy - 0.960177, class loss - 0.193310, bbox loss - 0.076966, landmark loss - 0.018871, L2 loss - 0.019150, lr - 0.001000 
2018-09-11 06:51:37.448808 - step - 364800 accuracy - 0.951327, class loss - 0.155230, bbox loss - 0.058877, landmark loss - 0.035193, L2 loss - 0.019135, lr - 0.001000 
2018-09-11 06:57:09.748719 - step - 368640 accuracy - 0.953271, class loss - 0.166913, bbox loss - 0.055378, landmark loss - 0.030220, L2 loss - 0.019127, lr - 0.000100 
2018-09-11 07:02:41.634341 - step - 372480 accuracy - 0.949309, class loss - 0.175926, bbox loss - 0.058944, landmark loss - 0.024016, L2 loss - 0.019123, lr - 0.000100 
2018-09-11 07:08:13.428187 - step - 376320 accuracy - 0.935345, class loss - 0.218509, bbox loss - 0.062687, landmark loss - 0.018723, L2 loss - 0.019122, lr - 0.000100 
2018-09-11 07:13:45.463613 - step - 380160 accuracy - 0.951965, class loss - 0.153602, bbox loss - 0.059138, landmark loss - 0.021260, L2 loss - 0.019121, lr - 0.000100 
2018-09-11 07:19:17.281757 - step - 384000 accuracy - 0.934673, class loss - 0.289766, bbox loss - 0.061274, landmark loss - 0.019969, L2 loss - 0.019117, lr - 0.000100 
2018-09-11 07:24:49.299925 - step - 387840 accuracy - 0.969957, class loss - 0.127503, bbox loss - 0.061283, landmark loss - 0.023388, L2 loss - 0.019114, lr - 0.000100 
2018-09-11 07:30:21.917700 - step - 391680 accuracy - 0.937239, class loss - 0.192688, bbox loss - 0.051416, landmark loss - 0.018807, L2 loss - 0.019110, lr - 0.000100 
2018-09-11 07:35:53.654706 - step - 395520 accuracy - 0.950226, class loss - 0.207865, bbox loss - 0.061461, landmark loss - 0.019654, L2 loss - 0.019105, lr - 0.000100 
2018-09-11 07:41:25.776007 - step - 399360 accuracy - 0.953587, class loss - 0.144796, bbox loss - 0.064274, landmark loss - 0.034089, L2 loss - 0.019099, lr - 0.000100 
2018-09-11 07:46:57.687362 - step - 403200 accuracy - 0.933333, class loss - 0.210065, bbox loss - 0.059390, landmark loss - 0.019006, L2 loss - 0.019096, lr - 0.000100 
2018-09-11 07:52:29.461568 - step - 407040 accuracy - 0.943231, class loss - 0.196069, bbox loss - 0.073055, landmark loss - 0.019562, L2 loss - 0.019094, lr - 0.000100 
2018-09-11 07:58:01.590906 - step - 410880 accuracy - 0.964444, class loss - 0.190791, bbox loss - 0.061764, landmark loss - 0.018167, L2 loss - 0.019087, lr - 0.000100 
2018-09-11 08:03:34.107843 - step - 414720 accuracy - 0.958140, class loss - 0.149553, bbox loss - 0.057701, landmark loss - 0.025982, L2 loss - 0.019083, lr - 0.000100 
2018-09-11 08:09:05.990500 - step - 418560 accuracy - 0.953192, class loss - 0.156235, bbox loss - 0.060272, landmark loss - 0.020552, L2 loss - 0.019080, lr - 0.000100 
2018-09-11 08:14:38.023122 - step - 422400 accuracy - 0.944700, class loss - 0.225361, bbox loss - 0.057874, landmark loss - 0.030851, L2 loss - 0.019075, lr - 0.000100 
2018-09-11 08:20:10.013138 - step - 426240 accuracy - 0.922078, class loss - 0.245085, bbox loss - 0.063452, landmark loss - 0.021320, L2 loss - 0.019069, lr - 0.000100 
2018-09-11 08:25:41.984747 - step - 430080 accuracy - 0.933333, class loss - 0.203560, bbox loss - 0.057461, landmark loss - 0.019713, L2 loss - 0.019067, lr - 0.000100 
2018-09-11 08:31:14.110686 - step - 433920 accuracy - 0.942982, class loss - 0.223425, bbox loss - 0.056376, landmark loss - 0.024054, L2 loss - 0.019059, lr - 0.000100 
2018-09-11 08:36:46.290326 - step - 437760 accuracy - 0.947598, class loss - 0.163784, bbox loss - 0.067301, landmark loss - 0.020292, L2 loss - 0.019054, lr - 0.000100 
2018-09-11 08:42:18.767999 - step - 441600 accuracy - 0.949541, class loss - 0.192664, bbox loss - 0.078663, landmark loss - 0.018776, L2 loss - 0.019050, lr - 0.000100 
2018-09-11 08:47:51.096990 - step - 445440 accuracy - 0.960177, class loss - 0.179086, bbox loss - 0.054207, landmark loss - 0.016574, L2 loss - 0.019045, lr - 0.000100 
2018-09-11 08:53:23.500586 - step - 449280 accuracy - 0.978632, class loss - 0.108197, bbox loss - 0.054964, landmark loss - 0.016089, L2 loss - 0.019041, lr - 0.000100 
2018-09-11 08:58:55.650512 - step - 453120 accuracy - 0.941748, class loss - 0.229451, bbox loss - 0.073978, landmark loss - 0.026741, L2 loss - 0.019040, lr - 0.000100 
2018-09-11 09:04:28.243511 - step - 456960 accuracy - 0.939252, class loss - 0.253342, bbox loss - 0.061196, landmark loss - 0.023777, L2 loss - 0.019033, lr - 0.000100 
2018-09-11 09:10:00.704100 - step - 460800 accuracy - 0.965665, class loss - 0.152451, bbox loss - 0.051394, landmark loss - 0.016111, L2 loss - 0.019029, lr - 0.000100 
2018-09-11 09:15:32.822634 - step - 464640 accuracy - 0.960870, class loss - 0.140766, bbox loss - 0.057288, landmark loss - 0.017773, L2 loss - 0.019024, lr - 0.000100 
2018-09-11 09:21:05.032857 - step - 468480 accuracy - 0.912664, class loss - 0.322639, bbox loss - 0.050306, landmark loss - 0.018296, L2 loss - 0.019019, lr - 0.000100 
2018-09-11 09:26:37.506887 - step - 472320 accuracy - 0.946903, class loss - 0.193621, bbox loss - 0.058066, landmark loss - 0.027572, L2 loss - 0.019014, lr - 0.000100 
2018-09-11 09:32:09.995049 - step - 476160 accuracy - 0.930348, class loss - 0.284608, bbox loss - 0.064524, landmark loss - 0.020431, L2 loss - 0.019013, lr - 0.000100 
2018-09-11 09:37:42.418326 - step - 480000 accuracy - 0.948936, class loss - 0.203755, bbox loss - 0.057144, landmark loss - 0.025004, L2 loss - 0.019009, lr - 0.000100 
2018-09-11 09:43:14.703912 - step - 483840 accuracy - 0.960870, class loss - 0.143995, bbox loss - 0.060265, landmark loss - 0.024225, L2 loss - 0.019001, lr - 0.000100 
2018-09-11 09:48:47.383031 - step - 487680 accuracy - 0.925764, class loss - 0.231860, bbox loss - 0.065142, landmark loss - 0.019950, L2 loss - 0.018998, lr - 0.000100 
2018-09-11 09:54:19.838856 - step - 491520 accuracy - 0.937008, class loss - 0.248009, bbox loss - 0.059936, landmark loss - 0.019786, L2 loss - 0.018995, lr - 0.000100 
2018-09-11 09:59:52.343152 - step - 495360 accuracy - 0.915888, class loss - 0.256400, bbox loss - 0.056845, landmark loss - 0.017635, L2 loss - 0.018989, lr - 0.000100 
2018-09-11 10:05:24.438522 - step - 499200 accuracy - 0.951327, class loss - 0.183961, bbox loss - 0.068809, landmark loss - 0.032289, L2 loss - 0.018983, lr - 0.000100 
2018-09-11 10:10:56.712050 - step - 503040 accuracy - 0.964286, class loss - 0.161310, bbox loss - 0.065343, landmark loss - 0.022570, L2 loss - 0.018981, lr - 0.000100 
2018-09-11 10:16:28.900454 - step - 506880 accuracy - 0.962656, class loss - 0.160144, bbox loss - 0.068389, landmark loss - 0.022039, L2 loss - 0.018974, lr - 0.000100 
2018-09-11 10:22:00.884504 - step - 510720 accuracy - 0.951219, class loss - 0.234909, bbox loss - 0.060220, landmark loss - 0.029283, L2 loss - 0.018969, lr - 0.000100 
2018-09-11 10:27:33.481164 - step - 514560 accuracy - 0.938776, class loss - 0.219853, bbox loss - 0.050448, landmark loss - 0.015491, L2 loss - 0.018965, lr - 0.000100 
2018-09-11 10:33:06.196170 - step - 518400 accuracy - 0.962963, class loss - 0.155587, bbox loss - 0.069638, landmark loss - 0.022596, L2 loss - 0.018958, lr - 0.000100 
2018-09-11 10:38:38.228649 - step - 522240 accuracy - 0.949309, class loss - 0.220409, bbox loss - 0.055645, landmark loss - 0.021115, L2 loss - 0.018954, lr - 0.000100 
2018-09-11 10:44:10.710761 - step - 526080 accuracy - 0.964912, class loss - 0.183473, bbox loss - 0.044677, landmark loss - 0.013437, L2 loss - 0.018952, lr - 0.000100 
2018-09-11 10:49:43.008610 - step - 529920 accuracy - 0.969697, class loss - 0.155233, bbox loss - 0.064407, landmark loss - 0.015519, L2 loss - 0.018945, lr - 0.000100 
2018-09-11 10:55:14.941400 - step - 533760 accuracy - 0.968889, class loss - 0.117851, bbox loss - 0.051902, landmark loss - 0.022062, L2 loss - 0.018941, lr - 0.000100 
2018-09-11 11:00:47.399085 - step - 537600 accuracy - 0.945455, class loss - 0.174212, bbox loss - 0.064650, landmark loss - 0.037931, L2 loss - 0.018940, lr - 0.000100 
2018-09-11 11:06:19.821281 - step - 541440 accuracy - 0.904977, class loss - 0.292520, bbox loss - 0.056235, landmark loss - 0.017446, L2 loss - 0.018935, lr - 0.000100 
2018-09-11 11:11:51.862378 - step - 545280 accuracy - 0.968037, class loss - 0.143271, bbox loss - 0.069502, landmark loss - 0.018965, L2 loss - 0.018929, lr - 0.000100 
2018-09-11 11:17:23.770184 - step - 549120 accuracy - 0.961039, class loss - 0.152537, bbox loss - 0.061417, landmark loss - 0.018727, L2 loss - 0.018927, lr - 0.000010 
2018-09-11 11:22:56.154860 - step - 552960 accuracy - 0.961702, class loss - 0.202551, bbox loss - 0.061408, landmark loss - 0.019185, L2 loss - 0.018927, lr - 0.000010 
2018-09-11 11:28:28.388115 - step - 556800 accuracy - 0.981308, class loss - 0.118960, bbox loss - 0.055095, landmark loss - 0.026555, L2 loss - 0.018926, lr - 0.000010 
2018-09-11 11:34:00.914238 - step - 560640 accuracy - 0.961702, class loss - 0.177075, bbox loss - 0.060620, landmark loss - 0.023127, L2 loss - 0.018925, lr - 0.000010 
2018-09-11 11:39:33.341419 - step - 564480 accuracy - 0.968610, class loss - 0.169238, bbox loss - 0.053324, landmark loss - 0.018673, L2 loss - 0.018925, lr - 0.000010 
2018-09-11 11:45:05.326346 - step - 568320 accuracy - 0.973451, class loss - 0.118457, bbox loss - 0.050633, landmark loss - 0.026006, L2 loss - 0.018925, lr - 0.000010 
2018-09-11 11:50:37.462634 - step - 572160 accuracy - 0.926724, class loss - 0.233083, bbox loss - 0.063669, landmark loss - 0.025452, L2 loss - 0.018924, lr - 0.000010 
2018-09-11 11:56:10.010937 - step - 576000 accuracy - 0.977273, class loss - 0.146647, bbox loss - 0.057559, landmark loss - 0.025492, L2 loss - 0.018924, lr - 0.000010 
